Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
High income: OECD;OEC;Population, total;SP.POP.TOTL;712955307;723158949.3;732045738.7;740590389.9;749072958.1;757368870;764948115.9;771965197.9;778067724.9;786100399.7;793230454;801260795.1;808759205.1;815494893.6;823211324;830463765;836202395.4;842300807.3;848396069.4;854495414.9;860411122;866448598;871856366;876880280;881570443;886361819;891371172;896312942;901494271;907221145;913585980;920519972;927326613.4;933810487.3;939885529.4;945884594;951612517;957367000;962716584;968091043;973793873;979532607.5;985586826.1;991637663.1;997746865.7;1003710370;1009796871;1016280987;1022536562;1028228477;1032856261
Latin America & Caribbean (all income levels);LCN;Population, total;SP.POP.TOTL;219297114;225526085.2;231948547.8;238510790.4;245138598.4;251780569;258418143.6;265063163.9;271753495.9;278548336.2;285490082;292582789.4;299808580.6;307167688.9;314641971.2;322220252;329905284.1;337687337.4;345553481.7;353466971.8;361410681;369441520.2;377446903.6;385472699;393529442.2;401605552;409708932.4;417823765.3;425927657.7;434014269.6;442054118;450014998;457926036.7;465801992.9;473663711.3;481521388;489386667.4;497234425.4;505186499.9;512846862.8;520355098.6;527737441.2;534976896.9;542074885.6;549059206.1;555935457.7;562701619;569349940;575917895.6;582446317.8;588974955.9
Latin America & Caribbean (developing only);LAC;Population, total;SP.POP.TOTL;215658966;221821122.6;228172176.2;234661763.8;241221256.8;247802409;254384780.4;260982722.3;267629249.9;274375650.8;281259403;288283160;295434396.6;302710710.3;310104906;317609410;325225921.7;332948159.8;340750964.9;348604259.8;356485545;364452893.2;372390859.8;380350998.4;388342261.8;396361251;404411222.8;412476228.7;420533589.1;428573965;436563801;444478826;452344611.7;460167857.9;467974797.3;475780008;483587887.4;491387049.4;499129354.9;506764025.4;514251597;521601579;528805600.9;535867595.6;542816871;549657318;556388966;563005619;569544686.6;576048447.8;582554334
Least developed countries: UN classification;LDC;Population, total;SP.POP.TOTL;243652064;249413550.6;255349910.4;261510157.4;267960507.6;274737064;281890255.4;289378436.8;297035775;304635329.8;312027506;319140644.4;326059946.2;332986086.8;340205468.6;347927118;356307344.7;365246764.1;374706517.9;384605418.4;394881116.5;405501389.7;416517719.7;427906956.8;439641057.8;451695713;464017435;476634692.1;489530322.4;502686876.5;516089375;529975290.3;544101859.3;558467946.1;573076082.6;587927244;602911441.1;618122750.2;633557336.4;649211325.9;665081571.5;681169015.2;697485312.3;714008402.7;730708301.4;747571698.2;764567412.4;781737793.2;799173571.3;816996758.7;835130914.1
Low & middle income;LMY;Population, total;SP.POP.TOTL;2283979636;2314660652;2358696168;2415014482;2471837356;2530442610;2592801164;2655045307;2719208340;2785454372;2852560203;2921069204;2988390345;3055309147;3121936829;3187599985;3253163276;3318626317;3385375408;3453546692;3522463465;3592839927;3666221222;3740409001;3814414147;3889858671;3968858702;4049987062;4131722684;4212440136;4293468936;4371415044;4446000862;4519772689;4592947008;4665997500;4739169824;4812744866;4885941606;4958197749;5030206052;5100373199;5169007177;5236992638;5304415072;5371585794;5438995062;5506189734;5574219258;5643217379;5713504825
Low income;LIC;Population, total;SP.POP.TOTL;237682528;243487622;249456499;255648483;262146706;268998028;276252659;283858972;291640193;299354521;306839766;314021595;320982455;327910173;335076088;342678929;350871753.2;359559333.4;368709089.9;378252141.8;388131379.5;398310343.3;408842931.4;419735696.3;430999182.1;442632218;454596435.2;466905654.6;479497395.1;492254251.1;505125668;518313871.3;531582376.3;544929574.1;558462532.6;572270586;586218251.1;600367178.2;614694469.4;629154888.9;643709522.5;658363836.2;673150297.3;688058562.7;703067266.4;718159454.2;733301564.4;748540606.2;764009535.3;779877024.6;796261359.6
Lower middle income;LMC;Population, total;SP.POP.TOTL;873025191;893151430;914109494.6;935810253.1;958168451.1;981120923;1004620255;1028653401;1053228091;1078377392;1103973318;1130307730;1157354850;1184871502;1213132616;1242198445;1272013422;1302554130;1333815963;1365808871;1398491871;1431635451;1465248765;1499272133;1533574842;1568011124;1604126128;1640529812;1677184031;1713893037;1752202972;1788576805;1824284150;1860074123;1895322846;1930501220;1965919892;2001543944;2037189420;2072902665;2108745667;2144386335;2179734117;2214931884;2249948385;2284739301;2320130221;2355546144;2391505689;2428089996;2465074765
Middle East & North Africa (all income levels);MEA;Population, total;SP.POP.TOTL;105401943;108164354.2;111072636.6;114073587;117208909.4;120466649;123841293.6;127402253;131019319.4;134735268.8;138539900;142389599.2;146312903.1;150422222.1;154695341.2;159187238;163908799.3;168874193.4;174104228;179647749;185493388;191562522.8;197905574.6;204457392.3;211068438.9;217822609.5;224690103.3;231537966.4;238302531.3;244842030.9;253298501.9;259950478.3;264150454.5;270167695.4;276041613.8;283440207.1;289176608.5;294910004.3;300665833.7;306526171.5;312605625.3;318759417.2;325087018.6;331569556.9;338311495.8;345276759.4;352561549.1;360108363.5;367757858.1;375397276.6;382801031.9
Middle East & North Africa (developing only);MNA;Population, total;SP.POP.TOTL;97797510;100302314.4;102889111.8;105569473.2;108361389.6;111276047;114322994.8;117495017.2;120762238.6;124082860;127431176;130788733.4;134193613.3;137686684.3;141323412.4;145146012;149145166.5;153333768.6;157738290.2;162387321.2;167295834;172395990;177734855.8;183261652.5;188866645.1;194610537.5;200485330.3;206359636.4;212186115.3;217839168.9;225408451.9;231091051.8;236418422.5;241597911.8;246694608;251756454.1;256869972.5;261991701.3;267110960.7;272223960.5;277413759.3;282557047.2;287764353.6;292982527.9;298274691.8;303593040.4;309007470.1;314496566.5;320030113.1;325624696.6;331263899.9
Middle income;MIC;Population, total;SP.POP.TOTL;2046297108;2071173030;2109239669;2159365999;2209690650;2261444582;2316548505;2371186335;2427568147;2486099851;2545720437;2607047609;2667407890;2727398974;2786860741;2844921056;2902291523;2959066984;3016666318;3075294550;3134332085;3194529584;3257378290;3320673305;3383414965;3447226453;3514262267;3583081408;3652225289;3720185885;3788343268;3853101173;3914418485;3974843115;4034484475;4093726914;4152951573;4212377688;4271247137;4329042860;4386496530;4442009363;4495856879;4548934076;4601347805;4653426340;4705693498;4757649128;4810209722;4863340354;4917243465
